user_id, user_login, user_time
211764809,typec2,2023-02-01 19:24:13
211764809,typec2,2023-02-01 19:39:34
211764809,typec2,2023-02-01 19:42:53
211764809,typec2,2023-02-01 19:42:55
211764809,typec2,2023-02-01 19:43:14
211764809,typec2,2023-02-01 19:45:35
211764809,typec2,2023-02-01 19:47:29
211764809,typec2,2023-02-01 19:50:28
211764809,typec2,2023-02-01 19:52:00
211764809,typec2,2023-02-01 19:53:12
211764809,typec2,2023-02-01 19:54:11
211764809,typec2,2023-02-01 20:00:22
211764809,typec2,2023-02-01 20:00:48
211764809,typec2,2023-02-01 20:02:42
211764809,typec2,2023-02-01 20:09:32
211764809,typec2,2023-02-01 20:11:43
211764809,typec2,2023-02-01 20:14:55
211764809,typec2,2023-02-01 20:16:37
211764809,typec2,2023-02-01 20:23:48
211764809,typec2,2023-02-01 20:27:15
211764809,typec2,2023-02-01 20:27:30
910753039,unknownhzhz,2023-02-01 20:42:13
910753039,unknownhzhz,2023-02-01 20:42:19
910753039,unknownhzhz,2023-02-01 20:45:17
910753039,unknownhzhz,2023-02-01 20:45:23
211764809,typec2,2023-02-01 20:52:14
921329464,pkkkkkkkk1,2023-02-01 21:21:32
921329464,pkkkkkkkk1,2023-02-01 21:23:18
1228274309,,2023-02-01 21:34:39
1228274309,,2023-02-01 21:35:08
1228274309,,2023-02-01 21:37:20
1228274309,,2023-02-01 21:37:24
409205647,STONECx3,2023-02-01 21:46:35
409205647,STONECx3,2023-02-01 21:46:38
409205647,STONECx3,2023-02-01 21:46:50
211764809,typec2,2023-02-01 21:48:06
211764809,typec2,2023-02-01 21:48:47
211764809,typec2,2023-02-01 22:55:21
211764809,typec2,2023-02-01 22:55:44
211764809,typec2,2023-02-01 22:55:48
211764809,typec2,2023-02-01 23:18:11
211764809,typec2,2023-02-04 11:34:11
211764809,typec2,2023-02-04 11:41:05
211764809,typec2,2023-02-04 11:41:09
211764809,typec2,2023-02-04 11:55:47
211764809,typec2,2023-02-04 11:58:53
211764809,typec2,2023-02-04 12:02:17
